product_id,url,domain,category,subcategory,product_name
175320gard,https://www.cdiscount.com/jardin/arrosage/gardena-groupe-de-surpression-3000-4-eco/f-163271503-175320gard.html,www.cdiscount.com,jardin,arrosage,gardena-groupe-de-surpression-3000-4-eco
183930701,https://www.cdiscount.com/maison/meubles-mobilier/ole-meuble-salle-de-bain-avec-vasque-melamine/f-11760040104-183930701.html,www.cdiscount.com,maison,meubles-mobilier,ole-meuble-salle-de-bain-avec-vasque-melamine
183990101,https://www.cdiscount.com/maison/meubles-mobilier/ole-salle-de-bain-complete-colonne-avec-miroir/f-117600403-183990101.html,www.cdiscount.com,maison,meubles-mobilier,ole-salle-de-bain-complete-colonne-avec-miroir
202a04021,https://www.cdiscount.com/maison/meubles-mobilier/obi-meuble-haut-de-cuisine-l-40-cm-blanc-mat/f-11760031001-202a04021.html,www.cdiscount.com,maison,meubles-mobilier,obi-meuble-haut-de-cuisine-l-40-cm-blanc-mat
202a04049,https://www.cdiscount.com/maison/meubles-mobilier/meuble-haut-melamine-gris-mat-l-40cm-extra/f-11760031001-202a04049.html,www.cdiscount.com,maison,meubles-mobilier,meuble-haut-melamine-gris-mat-l-40cm-extra
202a04050,https://www.cdiscount.com/maison/meubles-mobilier/meuble-haut-de-cuisine-40cm-noir-mat-porte-dim/f-11760031001-202a04050.html,www.cdiscount.com,maison,meubles-mobilier,meuble-haut-de-cuisine-40cm-noir-mat-porte-dim
202a08078,https://www.cdiscount.com/maison/meubles-mobilier/meuble-haut-melamine-gris-mat-l-80cm-extra/f-11760031001-202a08078.html,www.cdiscount.com,maison,meubles-mobilier,meuble-haut-melamine-gris-mat-l-80cm-extra
202b04087,https://www.cdiscount.com/maison/meubles-mobilier/meuble-bas-l-40cm-melamine-noir-mat-extra/f-11760031002-202b04087.html,www.cdiscount.com,maison,meubles-mobilier,meuble-bas-l-40cm-melamine-noir-mat-extra
202b08070,https://www.cdiscount.com/maison/meubles-mobilier/extra-meuble-bas-de-cuisine-80cm-noir-mat/f-11760031002-202b08070.html,www.cdiscount.com,maison,meubles-mobilier,extra-meuble-bas-de-cuisine-80cm-noir-mat
202c03041,https://www.cdiscount.com/maison/meubles-mobilier/essentiel-colonne-de-salle-de-bain-2-portes-bl/f-11760040103-202c03041.html,www.cdiscount.com,maison,meubles-mobilier,essentiel-colonne-de-salle-de-bain-2-portes-bl
